layer,cos_ASR_Mixed,relfrob_ASR_Mixed,meanangle_deg_ASR_Mixed,cos_ASR_QA,relfrob_ASR_QA,meanangle_deg_ASR_QA,cos_Mixed_QA,relfrob_Mixed_QA,meanangle_deg_Mixed_QA,cos_to_I_ASR,diag_energy_ratio_ASR,cos_to_I_Mixed,diag_energy_ratio_Mixed,cos_to_I_QA,diag_energy_ratio_QA
0,0.8097514134078713,0.6009694563995293,37.4366691857769,0.4379545901233375,1.1930516996821077,69.9821029142966,0.8792126279563264,0.6357573798240694,44.05446300976235,0.3591038411298319,0.13717541339470973,0.41407304274124684,0.1798499364497205,0.3426379135463546,0.12218514391851894
1,0.8590176426572477,0.5129467494861601,36.70398907025788,0.5091859939841072,1.0250293519395088,69.97162489103795,0.875046403463047,0.5807225626182315,43.92623571800495,0.36471126010232197,0.14165065106710462,0.4426551211065518,0.20567023942463628,0.3974347999340587,0.16445126841215624
2,0.8837371198219847,0.46802629400212586,36.60885433385365,0.5646933005093303,0.9349105936269806,70.3152725571614,0.8823346488313548,0.5379013284516962,44.29660010938992,0.3795841925876883,0.15351262814191413,0.4652867475649625,0.22713473701181439,0.43557503542189124,0.1971291702854466
3,0.8900435688828138,0.4561101787168775,36.77798155169548,0.5795904752001394,0.9118357225465513,69.97856560250634,0.8845253498021977,0.5266940292329194,43.878458872004764,0.38494567411847747,0.15798757382395195,0.4721020907507391,0.23397767061556016,0.4464122360273387,0.20711471976562895
4,0.8925122788975102,0.45105850537239667,36.75748104846639,0.5938534538498466,0.9022384676403563,69.69763210546562,0.8902749710547797,0.5154736463353843,43.45819305777412,0.39669521243416245,0.16786171186798096,0.48047950027776054,0.24248371727338847,0.45281062534423017,0.2131937322094995
5,0.8947323590375371,0.44660722157405836,37.586022921060895,0.6030616108008332,0.8942808545082979,69.57140233340063,0.8933689357497948,0.5083066051675597,42.915357794931516,0.4049895190150504,0.17488234117819737,0.48698252213034776,0.24907307874575557,0.45863025354379455,0.21872761236535668
6,0.8971673649206642,0.4416815659442802,37.971800238022155,0.6165503613435293,0.8844557278865876,69.23162636579664,0.8985214578143559,0.4974827564197548,42.86694527481092,0.41719108491867374,0.18515714133665756,0.49663648710533864,0.2586564796971148,0.4671347931429203,0.2266786606155595
7,0.9046714029221394,0.4261179615967068,37.942738362976364,0.6416656570310605,0.8540220764387589,69.33470439638091,0.9051774461501347,0.47700628859729344,42.59759455989022,0.43331970528027713,0.19915632109397632,0.5139166520593366,0.2763499391013786,0.4894254663077659,0.24838876232404775
8,0.9198102052479119,0.3925708888139325,37.017349785960945,0.6867735729716544,0.788694123340181,67.94458218360629,0.9153945696329078,0.4393669478361091,44.32376234073143,0.4535504524763228,0.21692303285827674,0.5375398097484837,0.3009815644362635,0.5270504529945446,0.287020658459307
9,0.9212540717540924,0.38903084022139345,37.85063527357415,0.6977731861091023,0.7815584766276862,67.43475421688511,0.9200120115076362,0.43031003460715017,43.481024505910746,0.46674038498228415,0.22820015624112788,0.5458311592788876,0.30891796747640365,0.5315951781417813,0.29107224357203626
